,feature,size,weight,gain,cv
8,GeneID.3872,40,0.11037891268533773,5.5177285538805965,1
9,GeneID.10948,40,0.0032948929159802307,3.494743225,1
10,GeneID.306,40,0.03789126853377265,4.438208180434783,1
11,GeneID.342667,40,0.0032948929159802307,2.497662305,1
12,GeneID.29089,40,0.016474464579901153,4.074678993000001,1
13,GeneID.84299,40,0.0016474464579901153,4.04141045,1
14,GeneID.2296,40,0.011532125205930808,3.991626575714286,1
15,GeneID.80129,40,0.0032948929159802307,3.965342165,1
16,GeneID.12,40,0.09719934102141681,3.537425435084744,1
17,GeneID.23498,40,0.029654036243822075,3.7494864461111117,1
18,GeneID.3852,40,0.009884678747940691,3.987481355,1
19,GeneID.81706,40,0.02800658978583196,2.837944157058824,1
20,GeneID.57650,40,0.019769357495881382,4.012330135,1
21,GeneID.11162,40,0.03789126853377265,2.370283915652174,1
22,GeneID.6422,40,0.013179571663920923,2.57138931875,1
23,GeneID.7783,40,0.051070840197693576,3.8590670550322583,1
24,GeneID.11065,40,0.009884678747940691,2.14709592,1
25,GeneID.8190,40,0.0032948929159802307,4.05937338,1
26,GeneID.3400,40,0.018121911037891267,2.5152811563636366,1
27,GeneID.7272,40,0.004942339373970346,2.5447723100000004,1
28,GeneID.3861,40,0.009884678747940691,3.9677356883333332,1
29,GeneID.1308,40,0.0214168039538715,2.6075853192307696,1
30,GeneID.3868,40,0.054365733113673806,1.697338197878788,1
31,GeneID.23650,40,0.018121911037891267,1.597632309090909,1
32,GeneID.196993,40,,,1
33,GeneID.79083,40,,,1
34,GeneID.9156,40,,,1
35,GeneID.7832,40,,,1
36,GeneID.22974,40,,,1
37,GeneID.154141,40,,,1
38,GeneID.3169,40,0.004942339373970346,2.42234683,1
39,GeneID.1058,40,0.0016474464579901153,2.70709324,1
0,GeneID.1672,30,0.11601307189542484,11.702741035915492,1
1,GeneID.8424,30,0.11764705882352941,5.120400623472225,1
2,GeneID.83903,30,0.10457516339869281,9.152041180000001,1
3,GeneID.4137,30,0.0196078431372549,8.519930362499998,1
4,GeneID.2064,30,0.013071895424836602,7.0812643775,1
5,GeneID.55165,30,0.0032679738562091504,7.155895709999999,1
6,GeneID.27190,30,0.07679738562091504,5.960073612765959,1
